Keyword,Frequency
leaky aquifers,1
heat pump systems,1
human-computer interaction system,1
humanoid robots and stability,1
humidity control,1
heating furnace,1
hvac,1
heating,1
heat resistance,1
hybrid anfis models,1
in-line,1
grnn model,1
intelligent manufacturing,1
initial weights,1
inner mongolia autonomous region,1
general reporting,1
innovation capacities,1
innovative gas appliances,1
input and outputs,1
input patterns,1
general circulation model,1
input variables,1
gene targeting,1
gene regulatory network,1
input-output analysis,1
input-output data,1
gene expression profiling,1
input-output pattern,1
installation,1
instance selection,1
integrated assessment and modeling,1
integrated control,1
gene expression,1
injection molding process,1
lean sustainability,1
gene chip,1
inherent features,1
geologic sediments,1
geography,1
geographical information system (gis),1
geographical features,1
genotyping techniques,1
informative priors,1
genotyping technique,1
genetics,1
informed decision,1
genetic-algorithm optimizations,1
genetic optimization,1
infrared devices,1
infrared imaging,1
genetic heterogeneity,1
genetic analysis,1
infrastructural development,1
genetic algorithm (gas),1
genetic algorithm (ga),1
infrastructure networks,1
integrated development environment,1
integrated evaluation,1
grnn,1
integration frameworks,1
gallium,1
galerkin method,1
integration of renewable energies,1
integrity assessment,1
g2 like 5 transcription factor,1
fuzzy-rough sets,1
fuzzy-logic,1
integrity monitoring,1
fuzzy system,1
intelligent algorithm,1
fuzzy sets,1
intelligent classifiers,1
intelligent control,1
intelligent decision support systems,1
intelligent fault diagnosis,1
fuzzy rough set,1
intelligent immune system,1
intelligent machine,1
intelligent management,1
gamma ray radiation,1
integrated work,1
gene activation,1
integrated water management, principal component analysis, anthropogenic effect,1
gels,1
integrated knowledge translation,1
gears,1
gaussian process regression,1
gaussian noise (electronic),1
gaussian membership function,1
integrated modeling,1
integrated modelling techniques,1
gaussian distribution,1
integrated modelling techniques, environmental engineering, artificial neural network,1
gauhati,1
integrated waste management,1
integrated waste management system,1
gases,1
gas turbines,1
gas producers,1
integrated water management,1
gas fuel analysis,1
integrated water management model,1
geomechanics,1
geometric factors,1
information system, czech republic,1
indicators (instruments),1
green data centers,1
indigenous community,1
green chemistry,1
indigenous knowledge,1
individual-based model,1
green analytical chemistry,1
individual-based model, geologic models, agriculture,1
indoor comfort,1
indoor space,1
greedy stepwise,1
inductive signatures,1
greater manchester,1
inductively coupled plasma,1
gravitational search algorithms,1
inductively coupled plasma-optical emission spectrometry,1
gravitational search algorithm (gsa),1
gravitational search algorithm,1
gravimetry,1
grassland,1
indigenous communities,1
indicators,1
geomorphology,1
green operation,1
in-line inspections,1
grinding wheel wear,1
grid operation,1
grid integration,1
in-situ transesterification,1
grey fuzzy methods,1
greenhouses,1
incentive,1
incineration,1
inclusivity,1
incomplete combustion,1
greenhouse effect,1
greenhouse ecosystem,1
incomplete data,1
green technology,1
index method,1
index system of automotive industry,1
green supply chain management (gscm),1
index values,1
graph theory,1
granular activated carbons,1
industrial buildings,1
industrial emissions,1
infill drilling,1
global positioning system,1
global impacts,1
global environmental change,1
influence diagram,1
global economic growth,1
global demographic process,1
glk8 gene,1
glk5 gene,1
gis technology,1
information criterion,1
leaching time,1
gibel carp,1
information fusion,1
ghg emission forecasting,1
ghg emission,1
information needs,1
information processing,1
geothermal heat pumps,1
inference process,1
global solar radiation,1
infectious disease,1
industrial structures,1
gradient methods,1
gradient descent,1
grade estimation,1
grace,1
government microblog,1
government authorities,1
industrial sector,1
governing equations,1
industrial sustainability,1
industry risks,1
gold future,1
industrial transformations,1
gm,1
industrial wastewater treatment,1
glycerol,1
glycerin,1
industrialization,1
industry 4.0,1
latin hypercube sampling,1
zymomonas mobilis, algae,1
firat catchment,1
classification accuracies,1
cingulate cortex,1
circular economy,1
city logistics,1
civil aviation,1
civil engineering,1
classic systems,1
classification results,1
chemical compound,1
classification system,1
classification tree,1
clay soil,1
clean energy,1
cleaner production,1
clearcutting,1
chronic disease management,1
chromosomes,1
chromium hexavalent ion, adsorption,1
chromium (vi),1
chromatography,1
chromatographic separations,1
chromatographic analysis,1
chondrostoma nasus,1
chlorophyll content,1
chlorophyll a simulation,1
chlorine compounds,1
chemical wastes,1
chemical waste,1
chemical reactors,1
chemical parameters,1
chemical oxygen demand,1
chemical industry,1
climate downscaling,1
climate effect,1
climate impacts,1
co<sub>2</sub> emissions,1
coleoptera,1
cognitive words,1
cognitive systems,1
cogeneration plants,1
coformulation,1
coefficient of variation,1
coefficient of determination,1
codes (symbols),1
coastal zone management,1
coastal water,1
coastal urban zones,1
coastal area,1
coastal aquifers,1
coal fired thermal power plants,1
co2 emissions,1
climate index,1
cnn models,1
cnn,1
clustering model,1
clue,1
cloud-oriented architecture,1
cloud modeling,1
cloud model,1
cloud manufacturing,1
closed-loop supply chain,1
closed circuit television,1
clinical effectiveness,1
climate variables,1
climate scenarios,1
climate parameters,1
chemical contamination,1
chemical and biologicals,1
collaborative forecasting,1
carbon credit earned,1
cannabis sativa,1
capacity for sustainable development of resource-based cities (csdrc),1
capital,1
carbide cutting tools,1
carbide tools,1
carbon,1
carbon cycle,1
chateauguay basin,1
carbon cycles,1
carbon emissions,1
carbon footprint,1
carbon monoxide,1
carbon sequestered,1
carboxylic acid,1
candidate materials,1
candida,1
calorimetry,1
calibration and validations,1
calcium calmodulin dependent protein kinase,1
cad,1
cacla,1
bzip108 transcription factor,1
by-catch,1
business process improvement,1
business intelligence systems,1
business ecosystem,1
business development,1
business,1
bullwhip effects,1
bullwhip effect,1
building shape,1
carboxymethylcellulose,1
caregiver,1
cargo aircraft,1
cellular telephones,1
characterisation,1
chaotic systems,1
change scenarios,1
chandipura virus,1
ceres_syn1deg product,1
ceramic membranes,1
ceramic materials,1
centralized controllers,1
central region [thailand],1
cements,1
cement-bonded board,1
cement mortar,1
cement,1
cellulose,1
cellular neural network (cnn),1
carp,1
cellular manufacturing system,1
cell load variation,1
ccm textural features,1
causal,1
catenary network,1
catchment size,1
catchment,1
catch statistics,1
catalytically active nanolayer,1
cash flow return on investments,1
case study,1
cascading simulation framework,1
cascade classifiers,1
cartesian genetic programming (cgp),1
collaborative control theory,1
college building,1
finite element,1
consumer behavior,1
construction method,1
construction process,1
construction projects,1
construction waste,1
construction works,1
consumer,1
consumer demands,1
concrete construction,1
containers,1
contemporary models,1
context data,1
contextual information,1
continuance intention,1
continuous emission monitoring system,1
construction material,1
construction machines,1
construct validity,1
constrained optimization,1
constitutive models,1
connected vehicles,1
conjunctive water use,1
conjunctive use,1
coniferous forest,1
conflicting objectives,1
conflict resolution,1
configuration designs,1
configuration design,1
conference (beltwide cotton),1
conditional random fields,1
conditional correlation,1
concurrent neuro fuzzy,1
continuous improvements,1
continuous photo-biohydrogen production,1
continuous photobioreactor,1
copper mines,1
county eco-environment system,1
cotton stalk,1
cotton leaves spot diseases,1
cost engineering,1
cost effectiveness analysis,1
cost analysis,1
cost,1
corrosion resistance,1
correspondence analysis,1
correlation structure,1
correlation coefficient,1
corrective maintenance,1
corporate social responsibility (csr),1
core management,1
copper,1
continuous process,1
coordinated development degree,1
cooperative adaptive cruise control,1
convolutional neural networks,1
convolution neural network (cnn),1
conventional methods,1
conventional concrete,1
conventional classification methods,1
control operations,1
control methodology,1
control mechanism,1
control engineering,1
control,1
continuum structures,1
continuous production,1
concrete pavements,1
concrete bridge,1
colorimetry,1
complex behavior,1
comparative analysis,1
comparison,1
competition index,1
competitive advantage,1
complete system,1
complex adaptive systems,1
complex hydrologic systems,1
concept drift,1
complex model,1
complex natures,1
complex problems,1
complex processes,1
complex relationships,1
complex-coupling,1
compact city,1
community-based design,1
community-based,1
community resiliences,1
community resilience,1
communication,1
common pool resources (cprs),1
common pool resource,1
common fisheries policy,1
commodity price,1
committee model,1
commitment to sustainability,1
combined heat and power units,1
combined heat and power plants,1
combined heat and power plant,1
combined cycle,1
combine evaluation,1
complexity reduction,1
compliance coefficient,1
component analysis,1
computational sustainability,1
concentration (composition),1
computing technology,1
computing techniques,1
computer software,1
computer numerical control machining,1
computer networks,1
computer hardware,1
computer control systems,1
computer architecture,1
computer aided diagnosis,1
computationally efficient,1
computational tools,1
computational technique,1
computational system,1
computational paradigm,1
components,1
computational models,1
computational modelling,1
computational methods,1
computational methodologies,1
computational intelligences,1
computational intelligence techniques,1
computational intelligence algorithms,1
computational framework,1
computational algorithm,1
compressed air generation unit,1
composited,1
composite of zinc oxide and polymer electrolytes,1
composite materials,1
composite films,1
building retrofit,1
building performance simulation,1
building materials,1
annual rainfall,1
ann (artificial neural network),1
ann-based cellular automata model,1
ann-simulink,1
annaba [algeria],1
annaba region,1
annual pm 10 emission forecasting,1
annual variation,1
aluminum,1
anova,1
antennas,1
anterior cingulate cortices,1
anthropogenic activity,1
anthropogenic effect,1
application,1
animal census,1
anfis model,1
anfis ensemble,1
andalucia region,1
analytics maturity assessment,1
analytical methods,1
analytical method,1
analytical framework,1
analytical data,1
analytical and numerical models,1
analytic network process (anp),1
analytic method,1
analysis of variance (anova),1
ammonia, air pollutant,1
ammonia emissions,1
amino acid synthesis,1
amides,1
application studies,1
applications,1
approximation algorithms,1
artifical neural network,1
as-soils,1
artocarpus heterophyllus, chromium,1
artificial neural-network,1
artificial neural networks models,1
artificial neural networks (anns),1
artificial neural networks (ann),1
artificial neural network approach,1
artificial neural network analysis (ann),1
artificial networks,1
artificial lighting,1
artificial intelligent,1
artificial intelligence systems,1
artificial intelligence algorithms,1
artificial bee colony programming,1
arthrospira platensis,1
aquatic ecosystems,1
aromatic hydrocarbons,1
aromatic compounds,1
arma,1
arima models,1
arima modeling,1
argentina,1
area under the curves,1
architectural icon,1
architectural design,1
architectural conservation,1
arches,1
aquifer systems,1
aquifer,1
aqueous solution,1
amazon,1
alternative energy,1
building form extraction,1
additive decomposition model,1
adaptive boosting,1
adaptive cruise control,1
adaptive learning system,1
adaptive neuro fuzzy inference systems,1
adaptive neuro-fuzzy inference system (anfis),1
adaptive operation,1
additives,1
alluvial aquifer systems,1
advanced analytics,1
advanced control,1
aerial images,1
affecting factors,1
african region,1
aged,1
adaptation,1
actor-critic,1
active controller,1
acrylic monomers,1
acoustic wave velocity,1
acipenser ruthenus,1
accurate estimation,1
accuracy indices,1
accuracy evaluation,1
accuracy,1
accumulation rate,1
acceleration,1
abc algorithm,1
5g mobile communication systems,1
3d soccer simulation league,1
3d simulations,1
3d printers,1
agent model,1
agglomeration,1
aggregates,1
agronomy,1
allium sativum,1
algorithm researches,1
algal blooms prediction,1
algal bloom,1
al7075,1
aircraft engines,1
air temperature,1
air quality,1
air pollution control,1
air pollutant,1
air navigation,1
air monitoring,1
ai algorithms,1
ai,1
agroecosystem,1
aging infrastructure,1
agroecology,1
agroclimatic frost,1
agrochemical,1
agro-industrial wastes,1
agricultural worker,1
agricultural system,1
agricultural production,1
agricultural policies,1
agricultural labor changes,1
agricultural labor,1
agricultural intensification,1
agricultural ecosystem,1
agricultural economics,1
agrarian technical efficiency,1
asparaginase, artificial neural network,1
aspartate ammonia ligase,1
aspergillus niger,1
biogeography based programming,1
biodiesel plants,1
biodiesel production,1
biofuel production,1
biofuel residue,1
biofuels,1
biofuels production,1
biohazards,1
assembly line,1
bioindicator,1
bioinformatics,1
biological activity,1
biological assemblages,1
biological capacities,1
biological characteristic,1
biodegradation, environmental,1
biodegradation,1
biocommunications,1
biochemical oxygen demand,1
bio-resources,1
bio-production,1
bio-physical variables,1
bio-methanol,1
bio-inspiration,1
bio-hydrogen production,1
bio-economy,1
bins,1
binding mechanism,1
binary distillation columns,1
big-data analytics,1
bi-linear and bi-quadratic retrieval,1
bi-level programming,1
biological mechanical treatment,1
biomass estimation,1
biomass logistics,1
bp model,1
building energy consumption,1
building electricity forecasting,1
buenos aires [argentina],1
budget control,1
bubbles (in fluids),1
brownfield site,1
brownfield regeneration,1
brown trout,1
broad application,1
british colonial architecture,1
bridges,1
bridge,1
brazilian architecture,1
brassica napus,1
boosters (rocket),1
biomass production,1
boolean matrix,1
bod,1
blockchain,1
black-box modeling,1
black boxes,1
biotechonomy,1
biotechnological process,1
bioremediation,1
biorefinery,1
biorefineries,1
bioreactors,1
biomedical equipment,1
biomedical engineering,1
biomass waste,1
best matching protocol,1
bentonite suspensions,1
belgium,1
attractor neural network,1
autonomous humanoid robot,1
automobiles,1
automation control system,1
automatic vehicle identification (avi),1
automatic regression,1
automated systems,1
automated pattern recognition,1
automated object recognition,1
automated credit scoring,1
auto-regressive moving average,1
auto regressive models,1
australia,1
auditory cortex,1
auc,1
attractor network modeling,1
autoregressive integrated moving average (arima),1
attractive strategies,1
atterberg limit,1
attention model,1
atrazine,1
atmospheric chemistry,1
atmospheric carbon dioxide,1
atmosphere,1
atlantic coast [north africa],1
associative processing,1
associative and spatial processing,1
asset management systems,1
asset management,1
assessment methods,1
assessment accuracy,1
autonomous robot,1
autoregressive integrated moving average model,1
behavior change,1
balkan peninsula,1
bedding materials,1
bayesian regulation,1
bayesian networks,1
bayesian estimation,1
bayes theorem,1
batch reactors,1
bat algorithm,1
bark,1
barbus barbus,1
bankruptcy risk,1
bangladesh,1
bangla compound character,1
bandwidth allocation,1
bamboo,1
baguette bread,1
autoregressive models,1
backward analysis,1
backtracking search algorithms,1
backscatter,1
backpropagation network,1
background information,1
back-propagation network (bpn),1
back tracking search algorithm,1
back testing,1
back propagation neural networks,1
back propagation neural network (bpnn),1
back propagation artificial neural network (bpann),1
average temperature,1
autothermal thermophilic aerobic digestions,1
autothermal thermophilic aerobic digestion bioreactor,1
county level in china,1
coupled flow,1
coupling agents,1
energy purchase,1
energy functions,1
energy gains,1
energy generations,1
energy informatics,1
energy integration,1
energy market,1
energy reliability index,1
energy analysis,1
energy scenarios,1
energy self-sustainability,1
energy simulation,1
energy storage,1
energy studies,1
energy systems,1
energy forecasting,1
energy forecast,1
energy flow modeling,1
energy flow model,1
energy efficient machining,1
energy efficient buildings,1
energy efficient building,1
learning rate,1
energy distributions,1
energy dispersion spectrum,1
energy demands,1
energy demand,1
energy crop,1
energy crisis,1
energy cost,1
energy conversion,1
energy consumption prediction,1
energy transfer,1
energy usage,1
energy wastages,1
environmental aspects,1
environmental index,1
environmental implications,1
environmental impact study,1
environmental impact mitigation,1
environmental impact assessments,1
environmental health,1
environmental growth,1
environmental evaluation,1
environmental design,1
environmental decision making,1
environmental data,1
environmental considerations,1
environmental consequences,1
environmental carrying capacity,1
environmental analysis,1
engineering problems,1
environment capacity,1
entropy-based feature selection,1
entropy-based,1
entropy method,1
entrepreneurship policy,1
entrepreneurship policies,1
entrepreneur,1
enterprise resource planning,1
enterprise is,1
enterprise culture,1
ensemble models,1
ensemble empirical mode decomposition (eemd),1
ensemble,1
engineering research,1
energy and cost,1
energy access,1
educational investments,1
electric power utilization,1
electric power distribution,1
electric power generation,1
electric power grids,1
electric power measurement,1
electric power plant loads,1
electric power supplies,1
electric railroads,1
end-to-end control,1
electric transformer testing,1
electric transformers,1
electric vehicles (evs),1
electric welding,1
electrical discharge machines,1
electrical vehicles,1
electric load flow,1
electric fault currents,1
electric equipment protection,1
electric energy storage,1
electric discharge machining,1
electric control equipment,1
electric automobiles,1
elastic modulus,1
ehealth,1
efm,1
effluents,1
efficiency of conversion of forests,1
efficiency measurement,1
efficiency enhancement,1
effective teaching learning based optimization method,1
effective performance,1
effective mechanisms,1
electricity,1
electricity bill,1
electricity demand forecasting,1
emerging trends,1
end-of-life management,1
end-of-life disassembly,1
end users,1
end of life managements,1
employment opportunities,1
employment,1
empirical research,1
empirical equations,1
empirical correlations,1
empirical analysis,1
emissions,1
emission prediction,1
emission estimation,1
emission data,1
elu,1
electricity generation,1
elliptic orbit model,1
eligible rate (er),1
elemental compositions,1
electronics disassembly,1
electronic trading,1
electronic equipment,1
electromechanical systems,1
electromechanical property,1
electromagnetic induction sensors,1
electromagnetic induction,1
electricity trading,1
electricity supply,1
electricity price forecasting,1
electricity load forecasting,1
environmental indicator,1
environmental integrity,1
environmental issue,1
farm management systems,1
facility location allocations,1
factorial analysis,1
factorial design,1
failure mode,1
failure modes,1
failure probability,1
farming by soil,1
environmental issues,1
farmland changes,1
fatty acid synthesis,1
fault data injection,1
fault data injections,1
fault detection algorithm,1
fault detection and location,1
facade,1
extremely learning machine,1
extreme winds,1
extraction capability,1
external memory,1
external dynamics,1
extended kalman filters,1
extended kalman filter,1
exponential smoothing,1
exploration and productions,1
explanatory variables,1
explainable neural networks,1
expert opinion and judgment,1
expert opinion,1
experiments,1
experimental reactors,1
experimental model,1
fault detection techniques,1
fault diagnosis method,1
fault diagnosis systems,1
feedforward backpropagation,1
financial sustainability of business,1
financial sustainability,1
financial statement fraud,1
financial savings,1
financial distress prediction,1
final energy consumption,1
fertilizers,1
fertilizer applications,1
fertilizer application,1
fertiliser,1
fermentation optimization,1
feedforward neural networks,1
feedforward backpropagation neural networks,1
feedforward backpropagation (ffbp),1
feedforward artificial neural network (fann),1
fault location estimation,1
feedforward artificial neural network,1
feed-forward network,1
feed-forward back propagation,1
feed temperature,1
feed forward backpropagation,1
feed concentrations,1
feature engineerings,1
feature engineering,1
feature distribution,1
feature construction,1
feasibility study,1
feasibility models,1
faults location,1
faults classification,1
experimental investigations,1
experimental evaluation,1
experimental design method,1
environmental restoration and remediation,1
equivalence factor,1
equitable housing policies,1
equipment component,1
epidemiology,1
enzyme synthesis,1
environmentally sensitive,1
environmentally and friendly concrete,1
environmental technology,1
environmental sustainability, ecology, artificial neural network,1
environmental sustainability index 2002,1
environmental sustainability index (esi),1
environmental sustainability (es),1
environmental specialization,1
environmental scanning electron microscopies (esem),1
environmental restoration,1
erosion changes prediction,1
environmental research,1
environmental regulations,1
environmental quality,1
environmental pressures,1
environmental pollutions,1
environmental planning,1
environmental performance index,1
environmental performance,1
environmental parameters,1
environmental objectives,1
environmental modelling,1
environmental model,1
environmental matrixes,1
environmental management strategy,1
equivalent consumption minimization strategy (ecms),1
erosion vulnerability,1
exogenous inputs,1
evaluation index,1
existing systems,1
exhaustivelisting,1
exergy analysis,1
exergetic optimization,1
exercise,1
excessive groundwater withdrawal,1
evolutionary approach,1
evolutionary algorithm,1
evaluation system,1
evaluation results,1
evaluation on land sustainable use,1
evaluation of tourism sustainability,1
evaluation metric,1
evaluation index system,1
evaluation and follow up,1
error correction mechanism model,1
eva,1
eutrophication,1
europe, air pollutant,1
euro-fuzzy approach,1
eu countries,1
estuarine environment,1
esters,1
esterification,1
esox lucius,1
escherichia coli,1
escalating costs,1
es constructs,1
error minimizations,1
error covariance matrix,1
ef,1
education for sustainable development,1
court,1
decision variables,1
decision makers,1
decision matrices,1
decision support,1
decision support tools,1
decision tree (dt),1
decision tree method,1
decision-making problem,1
data envelope analysis,1
decision-support model,1
decision-support models,1
declining spruce forests,1
deep belief network,1
deep belief network (dbn),1
deep belief networks,1
decarboxylation,1
debris flows,1
debris flow velocity,1
debris flow,1
dea,1
dd5,1
dct-ls-extended model,1
databases,1
database systems,1
data-driven model,1
data-driven approach,1
data-driven algorithm,1
data sample,1
data privacy,1
data preprocessing technique,1
data mining technology,1
data generation,1
deep neural network,1
deethylatrazine,1
defects,1
demand side managements,1
design and optimization,1
desiccation,1
depression,1
deposition,1
dependency structures,1
dendrites,1
dendrite,1
demographic trend,1
demographic survey,1
demographic profile,1
demersal fish,1
demand-supply framework,1
demand-side management,1
demand supplies,1
demand side management,1
deformation,1
demand and capacity sharing protocol,1
demand analysis,1
demand,1
deltaic aquifer systems,1
deltaic aquifer system,1
delta regions,1
delivered cost,1
delayed fluorescence,1
degrees of freedom (mechanics),1
degree of coordination,1
degradation trend,1
degradation factors,1
degradation factor,1
deformation resistance,1
data flow analysis,1
data driven approach,1
editorial,1
crude petroleum,1
cross-validation,1
crossflow microfiltration,1
crossflow velocities,1
crosslinking,1
crude oil,1
crude oil systems,1
crude samples,1
data communication systems,1
crude steel,1
cruise control,1
cubication,1
cultural diversity,1
cultural heritage,1
cultural heritage tourism,1
cross-border trades,1
cropland,1
crop productivity,1
crop models,1
crop management practices,1
critical success factors,1
critical review,1
critical infrastructures,1
critical component,1
crime prediction,1
crime,1
credit scoring,1
crashworthiness,1
cracks,1
covariates,1
covariate,1
covariance matrix,1
cultural heritages,1
cumulative prospect theory,1
cumulative scale,1
dam,1
data collection,1
data center power architectures,1
data center operations,1
data center,1
data base,1
data analysis techniques,1
data analysis methods,1
data acquisition,1
danube basin, animals,1
dangerous goods,1
dams,1
damage detection,1
dam height,1
dam design,1
daily work report,1
current energy,1
daily temperatures,1
czech republic,1
cyclostationary,1
cyber-security vulnerabilities,1
cyber security,1
cutting tools,1
cutting fluids,1
cutting,1
customised information,1
customer satisfaction,1
custom-built es improvement,1
curriculum,1
current transformer saturation,1
current structure,1
design method,1
design of experiments,1
design parameters,1
earthquake vulnerability map,1
e i s,1
e-health,1
early warning,1
earth atmosphere,1
earth sciences,1
earth's surface,1
earthquakes,1
design principles,1
east china,1
eastern boundary current,1
eastern hemisphere,1
echinochloa spp,1
eco feedbacks,1
eco-feedback,1
dynamics,1
dynamic scenarios simulation,1
dynamic response,1
dynamic programming,1
dynamic loads,1
dynamic evaluation methods,1
dynamic evaluation,1
dynamic energy management,1
dynamic control systems,1
dynamic bandwidth allocation,1
duplex stainless steels,1
duplex stainless steel,1
dss,1
drug products,1
drug formulation,1
drug determination,1
drought resistance,1
eco-literacy,1
ecodesign,1
ecohydrology,1
economic condition,1
ecotourism,1
ecosystem service bundles,1
ecosystem service,1
ecosystem restoration,1
ecosystem resilience,1
ecosystem monitoring,1
ecosystem function,1
economically viable,1
economic sustainability,1
economic sentiment indicator,1
economic security,1
economic level,1
economic growth and the environment,1
economic feasibilities,1
economic components,1
ecoinformatics,1
economic analysis, bio-ethanol production,1
econometric model,1
ecological-economic-social sustainability,1
ecological sustainability indicators,1
ecological specialization,1
ecological pressure prediction,1
ecological pressure,1
ecological impacts,1
ecological function zoning,1
ecological footprints,1
ecological footprint theory,1
ecological data,1
ecological approach,1
ecological agriculture,1
drop-in biofuels,1
driving forces,1
driver behavior,1
diagnoses of disease,1
discharge forecasting,1
disaster prevention,1
disaster management,1
direct solar radiation,1
direct impact,1
direct and indirect effect,1
digital soil mapping,1
digital manufacturing systems,1
different services,1
different operating conditions,1
difference equations,1
diesel fuels,1
diameter,1
diagnostic methods,1
diabetes mellitus,1
discrete wavelet transform (dwt),1
development stages,1
development process,1
developing regions,1
developing country,1
developed models,1
developed model,1
developed countries,1
detrimental effects,1
deterministic optimization,1
detectors,1
detection and identifications,1
desirability function,1
design solutions,1
design science,1
discrete artificial bee colony algorithm,1
discrete wavelets,1
drinking water,1
distribution system,1
drawdown,1
drainage, sanitary,1
downstream region,1
downscaling,1
downscaled climate datum,1
down-scaling,1
dough,1
dongtan wetland,1
dong lake,1
dominance rough set theory (drs),1
domestic appliances,1
diversity index,1
disturbance,1
district heating,1
distribution power flow,1
discriminate analysis,1
distribution loss analysis,1
distributed solutions,1
distributed parameter networks,1
distributed energy sources,1
distillation process,1
distillation columns,1
distillation column,1
distillation,1
dissolved oxygen,1
dispersed generation,1
dispersal,1
disease severity assessment,1
disease diagnosis,1
disease control,1
learning neural networks,1
mine waste,1
learning rates,1
sustainability of farming,1
survival curves,1
survival, neural networks,1
sustainability analysis,1
sustainability analysis, sustainable development,1
sustainability assessment, sustainable development, artificial neural network,1
sustainability criteria,1
sustainability criteria, three term control systems,1
sustainability design,1
sustainability designs,1
sustainability evaluations,1
sustainability in manufacturing,1
sustainability index,1
sustainability index, fighter aircraft, aircraft,1
sustainability indicators, biohazards,1
sustainability indicators, radial basis function networks,1
surveys,1
surveying, human performance,1
surua basin,1
supporting tool,1
supervisory control and data acquisition (scada),1
supply chain forecasting model,1
supply chains, ant colony algorithms,1
supply management,1
support,1
support vector machines (svm),1
supports, entrepreneur,1
surrounding environment,1
surface discharges,1
surface measurement,1
surface properties, arima modeling,1
surface runoffs,1
surface water qualities,1
surrogate modeling,1
sustainability of analytics,1
sustainability performance and optimization,1
superalloys,1
sustainability performance, complex networks,1
sustainability, cervus,1
sustainability, east china sea,1
sustainability, economic analysis,1
sustainability, england,1
sustainability, iran,1
sustainability, louisiana,1
sustainability, neural networks,1
sustainability, pakistan,1
sustainability, risk assessment,1
sustainability, taiwan,1
sustainable active surveillance,1
sustainable assessment,1
sustainable building systems,1
sustainable building, reinforcement learning, architectural design,1
sustainable construction,1
sustainability, central europe, coleoptera,1
sustainability, australasia,1
sustainability, apoidea,1
sustainability program,1
sustainability performance, fuzzy inference, artificial neural network,1
sustainability performance, supply chain management,1
sustainability practices,1
sustainability practices and performance,1
sustainability practices, information management,1
sustainability practices, sustainable development,1
sustainability quantification,1
sustainability, air pollutant,1
sustainability rating agencies,1
sustainability report,1
sustainability sensing,1
sustainability study, cellular neural networks,1
sustainability, abramis brama,1
sustainability, accuracy,1
supervised networks,1
sum squared error, behavioral research,1
learning styles identification,1
storage,1
statistical regression, energy conservation,1
statistical techniques,1
statistical techniques, discriminant analysis,1
statistical tools,1
statistics and numerical data,1
statistics models,1
steady-state behaviors,1
steel bridges,1
stepwise linear regression,1
stepwise regression, sensitivity analysis,1
stochastic analysis,1
stochastic load profiles,1
stochastic modelling,1
stochastic simulation methods,1
stochastic simulations,1
statistical quality, pesticides, activated carbon,1
statistical physics,1
statistical performance, backpropagation,1
statistical downscaling,1
state variables,1
stationary wavelet transform,1
stationary wavelet transforms,1
statistical approach,1
statistical clustering,1
statistical clustering, sustainable development,1
statistical estimation,1
statistical parameters,1
statistical learning techniques, big data,1
statistical mechanics,1
statistical methods, consistency,1
statistical model,1
statistical modeling, energy utilization,1
statistical modelling,1
stochastic systems, communication latency,1
storage capacity,1
sugeno-type fuzzy,1
storage reservoirs,1
structural optimization,1
structural parameter evaluation, identification (control systems),1
structural pattern, cellular automata, structural optimization,1
structural performance, pipe,1
structure (composition),1
structures,1
sub-saharan africa, cellular telephone systems,1
substrate,1
substrate concentrations,1
substrates, hydrogen production, biohydrogen,1
subtractive clustering,1
success factors,1
sufficient conditions,1
sugar cane,1
sugar cane, advanced control,1
structural health monitoring,1
structural equation modelling-artificial neural network,1
structural design, water distribution systems,1
stream flow,1
stormwater management,1
strategic approach, article,1
strategic factors,1
strategic management, regression analysis,1
strategic plan, clustering algorithms,1
strategies policy,1
stream flow, data flow analysis, aquatic ecosystem,1
structural condition,1
stream flow, sedimentology, accumulation,1
stress, physiological,1
strongly connected,1
structural analysis,1
structural analysis, neural networks,1
structural breaks,1
sustainable construction, buildings,1
sustainable development index,1
sustainable development, abc algorithms,1
synergic effects,1
sustainable supply chains, sustainable development,1
sustainable techniques,1
sustainable tourism development,1
sustainable tourist accommodation,1
sustainable water supply,1
sustainableoperations management,1
svm,1
svm method,1
svm method, anthropomorphic robots,1
svr,1
swat,1
swat, forestry, artificial neural network,1
swelling soil,1
synapses,1
synapses, recurrent neural networks,1
sustainable supply chains,1
sustainable smart cities,1
sustainable resources, smart power grids, biogas,1
sustainable organizational environment, forestry,1
sustainable materials, artificial intelligence,1
sustainable mobility, carrier mobility,1
sustainable network,1
sustainable optimization,1
sustainable organization,1
sustainable organizational environment,1
sustainable organizational environment.,1
sustainable products, life cycle,1
sustainable performance, reinforcement learning,1
sustainable practices, management,1
sustainable product designs, sustainable development,1
sustainable product development,1
sustainable production, electric conductivity,1
sustainable products,1
synaptic connections,1
synergistic combinations,1
sustainable development, accurate prediction,1
synergistic effect,1
systems applications, electric power system security,1
systems approach,1
systems engineering, financial sustainability,1
systems theories, adaptive systems,1
tabu search,1
tabu search, ant colony optimization (aco),1
taguchi,1
taiwan eco-hydrologic indicator system (teis),1
tandil,1
tanger-tetouan,1
tangier,1
tariff-aware,1
taxicabs, business ecosystem,1
taxonomy,1
technical decision,1
systems analysis, neural networks,1
systematic review,1
systematic conservation planning,1
system methods,1
synthesis gas,1
synthetic evaluation,1
system comprehensive evaluation,1
system dynamics model,1
system implementation,1
system learning, information management, agricultural production,1
